"Model","Horizon","MAE","RMSE","Bias","MASE"
"Historical Growth",1,0.79800596538458,0.927933726210536,-0.363643974422223,1.67278262682638
"Drift",1,0.886654593559347,1.02556192502715,-0.54681967673068,1.84068335463125
"Naive",1,0.991157368421053,1.17211537963093,-0.769131052631579,2.04833934613019
"ARIMA(0,1,1)",1,0.943120271210367,1.1943386407947,-0.459547319316159,1.91510034351799
"ARIMA(1,1,1)",1,0.967668208827519,1.21569060378139,-0.571610091257344,1.95799049937075
"ARIMA(2,1,2)",1,0.974191113076805,1.31380726723867,-0.694046612985762,1.92963535736385
"Historical Growth",2,1.2528976270545,1.48733372909768,-0.836245092649914,2.62690984528252
"Drift",2,1.44578968706553,1.78029867149065,-1.21606161661926,2.98928481699329
"ARIMA(0,1,1)",2,1.4970996887913,1.96188675179257,-1.22997064787314,3.12151785468938
"ARIMA(1,1,1)",2,1.61666808592513,2.0177856908107,-1.43061789014338,3.32849422736926
"Naive",2,1.79737047368421,2.14766650705527,-1.66068436842105,3.66733875165124
"ARIMA(2,1,2)",2,1.76919862691199,2.25664972401227,-1.70750519766101,3.55387021049308
"Historical Growth",3,1.69037717705946,1.98787117873147,-1.30745693589741,3.44645430740705
"Drift",3,2.12422597401935,2.51849797439725,-1.89783439861309,4.27143059457871
"ARIMA(0,1,1)",3,2.25572003532011,2.71042712273613,-2.01292481853538,4.59671193005575
"ARIMA(1,1,1)",3,2.38779582393562,2.86577622179605,-2.24211392389876,4.81401813322164
"ARIMA(2,1,2)",3,2.55271839030891,3.06898652587731,-2.49998294189724,5.10045105714191
"Naive",3,2.64293084210526,3.12307301924945,-2.56476852631579,5.29495188584838
"Historical Growth",4,1.95703325553508,2.4414823258164,-1.75394774038721,4.02668832660307
"Drift",4,2.60745556167752,3.19051088473908,-2.56927686481746,5.23350286796541
"ARIMA(0,1,1)",4,2.84766735304061,3.44406846880708,-2.78554867340815,5.76512302944742
"ARIMA(1,1,1)",4,3.06574125564057,3.66105796177574,-3.06548886689273,6.1579291798246
"ARIMA(2,1,2)",4,3.35329702298904,3.89104888062343,-3.30291372903531,6.75454559413106
"Naive",4,3.45852236842105,4.02604256332992,-3.45852236842105,6.94041864220301
"Historical Growth",5,2.33890640759313,2.86633139615089,-2.28113169713321,4.84498286158891
"Drift",5,3.33843309145739,3.87444916327707,-3.33628996260077,6.75363188836453
"ARIMA(0,1,1)",5,3.65374315985987,4.25289328003905,-3.65374315985987,7.42131309386128
"ARIMA(1,1,1)",5,3.97597509726476,4.52248882531678,-3.97597509726476,8.06291103663941
"ARIMA(2,1,2)",5,4.29812113431151,4.85202427462704,-4.29812113431151,8.69269015204459
"Naive",5,4.44784684210526,4.95800516754526,-4.44784684210526,9.00590606635631
